"","accession","version","entryVersion","dataClass","taxonomicDivision","moleculeType","sequenceLength","topology","firstPublic","firstPublicRelease","lastUpdated","lastUpdatedRelease","Row.names","taxID","superkingdom","phylum","class","order","family","genus","species"
"121","KC584777","1","1","STD","INV","genomic DNA","625","linear","2013-06-16","117","2013-06-16","117","983",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"122","KC584780","1","2","STD","INV","genomic DNA","625","linear","2013-06-16","117","2013-07-15","117","980",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"123","KU961918","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","589",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"124","KU961964","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","543",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"125","KU961967","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","540",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"126","KU961921","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","586",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"127","KU961928","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","579",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"128","KU961932","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","575",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"129","KU961939","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","568",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"130","KU961947","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","560",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"131","KU961948","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","559",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"132","KU961936","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","571",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"133","KU961938","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","569",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"134","KU961962","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","545",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"135","KU961926","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","581",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"136","KU961930","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","577",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"137","KU961925","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","582",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"138","KU961929","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","578",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"139","KU961943","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","564",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"140","KU961934","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","573",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"141","KU961937","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","570",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"142","KU961954","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","553",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"143","KU961968","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","539",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"144","KU961927","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","580",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"145","KU961942","1","1","STD","INV","genomic DNA","512","linear","2016-05-26","128","2016-05-26","128","565",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"146","KU961951","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","556",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"147","KU961916","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","591",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"148","KU961917","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","590",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"149","KU961924","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","583",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"150","KU961955","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","552",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"151","KU961957","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","550",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"152","KU961958","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","549",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"153","KU961914","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","593",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"154","KU961919","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","588",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"155","KU961931","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","576",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"156","KU961941","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","566",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"157","KU961945","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","562",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"158","KU961952","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","555",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"159","KU961959","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","548",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"160","KU961961","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","546",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"161","KU961922","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","585",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"162","KU961950","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","557",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"163","KU961956","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","551",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"164","KU961960","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","547",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"165","KU961963","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","544",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"166","KU961965","1","1","STD","INV","genomic DNA","514","linear","2016-05-26","128","2016-05-26","128","542",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"167","JF827276","1","1","STD","INV","genomic DNA","625","linear","2011-05-31","109","2011-05-31","109","1024",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"168","JF827277","1","1","STD","INV","genomic DNA","625","linear","2011-05-31","109","2011-05-31","109","1023",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"169","EU165370","1","2","STD","INV","genomic DNA","538","linear","2007-10-15","93","2010-09-07","106","1050",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"170","MN103519","1","1","STD","INV","genomic DNA","608","linear","2019-07-04","141","2019-07-04","141","74",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"171","MN103520","1","1","STD","INV","genomic DNA","610","linear","2019-07-04","141","2019-07-04","141","73",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"172","KU535869","1","1","STD","INV","genomic DNA","606","linear","2016-02-26","127","2016-02-26","127","627",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"173","KU535870","1","1","STD","INV","genomic DNA","614","linear","2016-02-26","127","2016-02-26","127","626",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"174","KU535871","1","1","STD","INV","genomic DNA","606","linear","2016-02-26","127","2016-02-26","127","625",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"175","HM212626","1","2","STD","INV","genomic DNA","661","linear","2010-08-02","105","2010-09-07","106","1038",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"176","KU535868","1","1","STD","INV","genomic DNA","625","linear","2016-02-26","127","2016-02-26","127","628",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"177","HM212625","1","2","STD","INV","genomic DNA","639","linear","2010-08-02","105","2010-09-07","106","1039",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"178","KF621087","1","2","STD","INV","genomic DNA","549","linear","2014-12-08","123","2015-02-18","123","831",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"179","KF621088","1","2","STD","INV","genomic DNA","626","linear","2014-12-08","123","2015-02-18","123","830",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"180","KF621091","1","2","STD","INV","genomic DNA","626","linear","2014-12-08","123","2015-02-18","123","827",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"181","KF621083","1","2","STD","INV","genomic DNA","503","linear","2014-12-08","123","2015-02-18","123","835",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"182","KF621085","1","2","STD","INV","genomic DNA","626","linear","2014-12-08","123","2015-02-18","123","833",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"183","KF621089","1","2","STD","INV","genomic DNA","626","linear","2014-12-08","123","2015-02-18","123","829",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"184","KF621090","1","2","STD","INV","genomic DNA","549","linear","2014-12-08","123","2015-02-18","123","828",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"185","KF621092","1","2","STD","INV","genomic DNA","533","linear","2014-12-08","123","2015-02-18","123","826",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"186","KF621082","1","2","STD","INV","genomic DNA","626","linear","2014-12-08","123","2015-02-18","123","836",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"187","KF621095","1","2","STD","INV","genomic DNA","626","linear","2014-12-08","123","2015-02-18","123","823",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"188","KF621086","1","2","STD","INV","genomic DNA","562","linear","2014-12-08","123","2015-02-18","123","832",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"189","KF621096","1","2","STD","INV","genomic DNA","564","linear","2014-12-08","123","2015-02-18","123","822",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"190","KJ572978","1","2","STD","INV","genomic DNA","668","linear","2014-05-16","120","2014-07-18","121","921",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"191","KJ572979","1","2","STD","INV","genomic DNA","669","linear","2014-05-16","120","2014-07-18","121","920",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"192","DQ060324","1","2","STD","INV","genomic DNA","543","linear","2005-08-01","84","2006-01-06","86","1045",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"193","DQ060326","1","2","STD","INV","genomic DNA","518","linear","2005-08-01","84","2006-01-06","86","1043",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"194","DQ060327","1","2","STD","INV","genomic DNA","568","linear","2005-08-01","84","2006-01-06","86","1042",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"195","DQ060329","1","2","STD","INV","genomic DNA","550","linear","2005-08-01","84","2006-01-06","86","1040",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"196","MH595893","1","1","STD","INV","genomic DNA","598","linear","2019-05-24","140","2019-05-24","140","110",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"197","MH595899","1","1","STD","INV","genomic DNA","597","linear","2019-05-24","140","2019-05-24","140","104",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"198","MH595900","1","1","STD","INV","genomic DNA","597","linear","2019-05-24","140","2019-05-24","140","103",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"199","MH595903","1","1","STD","INV","genomic DNA","598","linear","2019-05-24","140","2019-05-24","140","100",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"200","MH595906","1","1","STD","INV","genomic DNA","598","linear","2019-05-24","140","2019-05-24","140","97",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"201","MH595894","1","1","STD","INV","genomic DNA","598","linear","2019-05-24","140","2019-05-24","140","109",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"202","MH595895","1","1","STD","INV","genomic DNA","598","linear","2019-05-24","140","2019-05-24","140","108",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"203","MH595897","1","1","STD","INV","genomic DNA","598","linear","2019-05-24","140","2019-05-24","140","106",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"204","MH595898","1","1","STD","INV","genomic DNA","598","linear","2019-05-24","140","2019-05-24","140","105",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"205","MH595902","1","1","STD","INV","genomic DNA","598","linear","2019-05-24","140","2019-05-24","140","101",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"206","MH595904","1","1","STD","INV","genomic DNA","598","linear","2019-05-24","140","2019-05-24","140","99",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"207","MH595892","1","1","STD","INV","genomic DNA","598","linear","2019-05-24","140","2019-05-24","140","111",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"208","MH595896","1","1","STD","INV","genomic DNA","598","linear","2019-05-24","140","2019-05-24","140","107",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"209","MH595901","1","1","STD","INV","genomic DNA","589","linear","2019-05-24","140","2019-05-24","140","102",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"210","MH595905","1","1","STD","INV","genomic DNA","598","linear","2019-05-24","140","2019-05-24","140","98",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"211","MH595907","1","1","STD","INV","genomic DNA","598","linear","2019-05-24","140","2019-05-24","140","96",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"212","MH595909","1","1","STD","INV","genomic DNA","598","linear","2019-05-24","140","2019-05-24","140","94",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"213","MH595910","1","1","STD","INV","genomic DNA","598","linear","2019-05-24","140","2019-05-24","140","93",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"214","MH595911","1","1","STD","INV","genomic DNA","598","linear","2019-05-24","140","2019-05-24","140","92",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"215","MH595908","1","1","STD","INV","genomic DNA","598","linear","2019-05-24","140","2019-05-24","140","95",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"216","MG807345","1","1","STD","INV","genomic DNA","614","linear","2018-08-06","137","2018-08-06","137","313",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"217","MG807347","1","1","STD","INV","genomic DNA","614","linear","2018-08-06","137","2018-08-06","137","311",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"218","MG807346","1","1","STD","INV","genomic DNA","614","linear","2018-08-06","137","2018-08-06","137","312",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"219","JX466886","1","2","STD","INV","genomic DNA","651","linear","2012-10-15","114","2013-09-26","118","962",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"220","JX466885","1","2","STD","INV","genomic DNA","651","linear","2012-10-15","114","2013-09-26","118","963",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"221","JX466884","1","2","STD","INV","genomic DNA","651","linear","2012-10-15","114","2013-09-26","118","964",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"222","JX466880","1","2","STD","INV","genomic DNA","651","linear","2012-10-15","114","2013-09-26","118","968",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"223","JX466881","1","2","STD","INV","genomic DNA","651","linear","2012-10-15","114","2013-09-26","118","967",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"224","JX466883","1","2","STD","INV","genomic DNA","651","linear","2012-10-15","114","2013-09-26","118","965",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"225","JX466882","1","2","STD","INV","genomic DNA","651","linear","2012-10-15","114","2013-09-26","118","966",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"226","HQ605710","1","3","STD","INV","genomic DNA","595","linear","2010-12-29","107","2011-04-19","108","1026",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"227","KU729738","1","1","STD","INV","genomic DNA","664","linear","2016-10-05","130","2016-10-05","130","515",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"228","KU729737","1","1","STD","INV","genomic DNA","664","linear","2016-10-05","130","2016-10-05","130","516",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"229","KT267952","1","1","STD","INV","genomic DNA","666","linear","2015-12-08","127","2015-12-08","127","643",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"230","KT267953","1","1","STD","INV","genomic DNA","666","linear","2015-12-08","127","2015-12-08","127","642",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"231","KT267954","1","1","STD","INV","genomic DNA","666","linear","2015-12-08","127","2015-12-08","127","641",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"232","KT267956","1","1","STD","INV","genomic DNA","666","linear","2015-12-08","127","2015-12-08","127","639",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"233","KT267962","1","1","STD","INV","genomic DNA","666","linear","2015-12-08","127","2015-12-08","127","633",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"234","KT267963","1","1","STD","INV","genomic DNA","666","linear","2015-12-08","127","2015-12-08","127","632",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"235","KT267961","1","1","STD","INV","genomic DNA","666","linear","2015-12-08","127","2015-12-08","127","634",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"236","KT267951","1","1","STD","INV","genomic DNA","665","linear","2015-12-08","127","2015-12-08","127","644",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"237","KT267959","1","1","STD","INV","genomic DNA","666","linear","2015-12-08","127","2015-12-08","127","636",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"238","KT267964","1","1","STD","INV","genomic DNA","666","linear","2015-12-08","127","2015-12-08","127","631",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"239","KT267965","1","1","STD","INV","genomic DNA","666","linear","2015-12-08","127","2015-12-08","127","630",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"240","KT267957","1","1","STD","INV","genomic DNA","666","linear","2015-12-08","127","2015-12-08","127","638",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"241","KT267955","1","1","STD","INV","genomic DNA","666","linear","2015-12-08","127","2015-12-08","127","640",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
